"Self Certification Test Report"
"Service\Protocol Name","Total","Failed","Passed"
"BootServicesTest\EventTimerandPriorityServicesTest","34","1","33"
"BootServicesTest\MemoryAllocationServicesTest","138","0","138"
"BootServicesTest\ProtocolHandlerServicesTest","1214","18","1196"
"BootServicesTest\ImageServicesTest","123","3","120"
"BootServicesTest\MiscBootServicesTest","132","3","129"
"RuntimeServicesTest\VariableServicesTest","53","8","45"
"RuntimeServicesTest\TimeServicesTest","46","4","42"
"RuntimeServicesTest\MiscRuntimeServicesTest","12","4","8"
"LoadedImageProtocolTest","1420","0","1420"
"DevicePathProcotols\DevicePathProcotolTest","12","0","12"
"DevicePathProcotols\DevicePathUtilitiesProcotolTest","21","0","21"
"DevicePathProcotols\DevicePathToTextProcotolTest","51","36","15"
"StringServiceTest\UnicodeCollation2ProtocolTest","12","1","11"
"NetworkSupportTest\SimpleNetworkProtocolTest","35","18","17"
"HIITest\HIIDatabaseProtocolTest","22","4","18"
"HIITest\HIIConfigRoutingProtocolTest","19","19","0"
"Total service\Protocol","3344","119","3225"

"Service\Protocol Name","Index","Instance","Iteration","Guid","Result","Title","Runtime Information","Case Revision","Case GUID","Device Path","Logfile Name"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.17.81","0","0","6AF7091B-2DB6-4F09-A1FE-DD5E87F482BB","FAIL","BS.UninstallMultipleProtocolInterfaces - UninstallMutlipleProtocolInterfaces() returns EFI_ACCESS_DENIED with opened EXCLUSIVE at EFI_TPL_APPLICATION","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_2.c:13162:Status - Invalid Parameter, TPL - 4","0x00010002","283CCDDA-D4CD-4BD1-8A9D-A4AEF1A7A214","No device path","UninstallMultipleProtocolInterfaces_Func_0_0_283CCDDA-D4CD-4BD1-8A9D-A4AEF1A7A214.log"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.17.82","0","0","F589893D-3D46-4BE3-AA9A-421E3DCDFD35","FAIL","BS.UninstallMultipleProtocolInterfaces - UninstallMutlipleProtocolInterfaces() returns EFI_ACCESS_DENIED with opened EXCLUSIVE at EFI_TPL_CALLBACK","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_2.c:13162:Status - Invalid Parameter, TPL - 8","0x00010002","283CCDDA-D4CD-4BD1-8A9D-A4AEF1A7A214","No device path","UninstallMultipleProtocolInterfaces_Func_0_0_283CCDDA-D4CD-4BD1-8A9D-A4AEF1A7A214.log"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.17.83","0","0","E05CA4D7-A705-4270-99BB-108D8C1FC80C","FAIL","BS.UninstallMultipleProtocolInterfaces - UninstallMutlipleProtocolInterfaces() returns EFI_ACCESS_DENIED with opened EXCLUSIVE at EFI_TPL_NOTIFY","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_2.c:13162:Status - Invalid Parameter, TPL - 16","0x00010002","283CCDDA-D4CD-4BD1-8A9D-A4AEF1A7A214","No device path","UninstallMultipleProtocolInterfaces_Func_0_0_283CCDDA-D4CD-4BD1-8A9D-A4AEF1A7A214.log"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.17.96","0","0","0FFD3C72-E720-4181-8815-3A7E68839C1C","FAIL","BS.UninstallMultipleProtocolInterfaces - UninstallMutlipleProtocolInterfaces() returns EFI_ACCESS_DENIED with opened BY_DRIVER at EFI_TPL_APPLICATION","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_2.c:13507:Status - Invalid Parameter, TPL - 4","0x00010002","283CCDDA-D4CD-4BD1-8A9D-A4AEF1A7A214","No device path","UninstallMultipleProtocolInterfaces_Func_0_0_283CCDDA-D4CD-4BD1-8A9D-A4AEF1A7A214.log"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.17.97","0","0","D6A17500-9DCD-48E3-A160-810953B82F24","FAIL","BS.UninstallMultipleProtocolInterfaces - UninstallMutlipleProtocolInterfaces() returns EFI_ACCESS_DENIED with opened BY_DRIVER at EFI_TPL_CALLBACK","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_2.c:13507:Status - Invalid Parameter, TPL - 8","0x00010002","283CCDDA-D4CD-4BD1-8A9D-A4AEF1A7A214","No device path","UninstallMultipleProtocolInterfaces_Func_0_0_283CCDDA-D4CD-4BD1-8A9D-A4AEF1A7A214.log"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.17.98","0","0","1E4E4E42-9A65-4780-848B-0FD2E5C1779A","FAIL","BS.UninstallMultipleProtocolInterfaces - UninstallMutlipleProtocolInterfaces() returns EFI_ACCESS_DENIED with opened BY_DRIVER at EFI_TPL_NOTIFY","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_2.c:13507:Status - Invalid Parameter, TPL - 16","0x00010002","283CCDDA-D4CD-4BD1-8A9D-A4AEF1A7A214","No device path","UninstallMultipleProtocolInterfaces_Func_0_0_283CCDDA-D4CD-4BD1-8A9D-A4AEF1A7A214.log"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.17.111","0","0","9D70878C-FE99-47A1-AE69-742667717259","FAIL","BS.UninstallMultipleProtocolInterfaces - UninstallMutlipleProtocolInterfaces() returns EFI_ACCESS_DENIED with opened BY_DRIVER | EXCLUSIVE at EFI_TPL_APPLICATION","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_2.c:13861:Status - Invalid Parameter, TPL - 4","0x00010002","283CCDDA-D4CD-4BD1-8A9D-A4AEF1A7A214","No device path","UninstallMultipleProtocolInterfaces_Func_0_0_283CCDDA-D4CD-4BD1-8A9D-A4AEF1A7A214.log"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.17.112","0","0","52490623-3656-4885-8DED-03A33E51E645","FAIL","BS.UninstallMultipleProtocolInterfaces - UninstallMutlipleProtocolInterfaces() returns EFI_ACCESS_DENIED with opened BY_DRIVER | EXCLUSIVE at EFI_TPL_CALLBACK","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_2.c:13861:Status - Invalid Parameter, TPL - 8","0x00010002","283CCDDA-D4CD-4BD1-8A9D-A4AEF1A7A214","No device path","UninstallMultipleProtocolInterfaces_Func_0_0_283CCDDA-D4CD-4BD1-8A9D-A4AEF1A7A214.log"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.17.113","0","0","B68E1E7C-84A7-4F2F-BC6F-2144F96A06B5","FAIL","BS.UninstallMultipleProtocolInterfaces - UninstallMutlipleProtocolInterfaces() returns EFI_ACCESS_DENIED with opened BY_DRIVER | EXCLUSIVE at EFI_TPL_NOTIFY","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_2.c:13861:Status - Invalid Parameter, TPL - 16","0x00010002","283CCDDA-D4CD-4BD1-8A9D-A4AEF1A7A214","No device path","UninstallMultipleProtocolInterfaces_Func_0_0_283CCDDA-D4CD-4BD1-8A9D-A4AEF1A7A214.log"
"BootServicesTest\ImageServicesTest","5.20.1.1.1","0","0","DE687A18-0BBD-4396-8509-498FF23234F1","FAIL","Sysem hangs or stops abnormally.","System hang in BootServicesTest\ImageServicesTest - ExitBootServices_Conf","0x00010001","303ABFAB-C865-4255-86E3-6EEF175E30DD","No device path","ExitBootServices_Conf_0_0_303ABFAB-C865-4255-86E3-6EEF175E30DD.log"
"BootServicesTest\ImageServicesTest","5.1.4.1.18","0","0","37126638-5217-4F39-9D82-40A374B574F6","FAIL","BS.LoadImage - LoadImage() loads image via LOAD_FILE protocol.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ImageServices/BlackBoxTest/ImageBBTestFunction.c:1670:Status - Not Found, TPL - 4","0x00010001","2FF0431A-8E07-4CDB-A298-D004566A74D4","No device path","LoadImage_Func_0_0_2FF0431A-8E07-4CDB-A298-D004566A74D4.log"
"BootServicesTest\ImageServicesTest","5.1.4.1.22","0","0","1D8B160C-7601-47C9-8102-68C0F801314B","FAIL","BS.LoadImage - LoadImage() load valid hii image from memory,return code should be EFI_SUCCESS","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ImageServices/BlackBoxTest/ImageBBTestFunction.c:1918:Status - Unsupported, TPL - 4","0x00010001","2FF0431A-8E07-4CDB-A298-D004566A74D4","No device path","LoadImage_Func_0_0_2FF0431A-8E07-4CDB-A298-D004566A74D4.log"
"BootServicesTest\MiscBootServicesTest","5.1.5.5.17","0","0","F48D1C2D-1EBA-4E4C-A16D-748A01ABE6C1","FAIL","BS.GetNextMonotonicCount - GetNextMonotonicCount() gets the high 32-bit after reset at EFI_TPL_APPLICATION.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/MiscBootServices/BlackBoxTest/MiscBootServicesBBTestFunction.c:1753:Count - 2, Count2 - 0, TPL - 4","0x00010001","D35AAEF2-55FB-4377-A07B-29DCA3201F19","No device path","GetNextMonotonicCount_Func_0_0_D35AAEF2-55FB-4377-A07B-29DCA3201F19.log"
"BootServicesTest\MiscBootServicesTest","5.1.5.5.18","0","0","E8B96EA0-6413-4947-AD1A-31EEF868A372","FAIL","BS.GetNextMonotonicCount - GetNextMonotonicCount() gets the high 32-bit after reset at EFI_TPL_CALLBACK.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/MiscBootServices/BlackBoxTest/MiscBootServicesBBTestFunction.c:1753:Count - 3, Count2 - 0, TPL - 8","0x00010001","D35AAEF2-55FB-4377-A07B-29DCA3201F19","No device path","GetNextMonotonicCount_Func_0_0_D35AAEF2-55FB-4377-A07B-29DCA3201F19.log"
"BootServicesTest\MiscBootServicesTest","5.1.5.5.19","0","0","0EC16C83-177D-461A-9622-42508C99D966","FAIL","BS.GetNextMonotonicCount - GetNextMonotonicCount() gets the high 32-bit after reset at EFI_TPL_NOTIFY.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/MiscBootServices/BlackBoxTest/MiscBootServicesBBTestFunction.c:1753:Count - 3, Count2 - 0, TPL - 16","0x00010001","D35AAEF2-55FB-4377-A07B-29DCA3201F19","No device path","GetNextMonotonicCount_Func_0_0_D35AAEF2-55FB-4377-A07B-29DCA3201F19.log"
"RuntimeServicesTest\VariableServicesTest","5.2.1.3.44","0","0","E9893BCB-EF2B-495C-82F0-D0630DA79476","FAIL","RT.SetVariable - SetVariable to enroll an invalid time based authenticated variable which signed by certificate but several bit changed. ","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/RuntimeServices/VariableServices/BlackBoxTest/AuthVariableServicesBBTestConformance.c:222:Status - Success","0x00010000","28155531-80C5-4AD0-8471-A5E2AECF236C","No device path","AuthVar_Conf_0_0_28155531-80C5-4AD0-8471-A5E2AECF236C.log"
"RuntimeServicesTest\VariableServicesTest","5.2.1.3.45","0","0","2534ABC0-1F01-48A0-96DE-F8BBA745C364","FAIL","RT.SetVariable - SetVariable to enroll time based authenticated variable which signed by certificate with invalid attribute. ","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/RuntimeServices/VariableServices/BlackBoxTest/AuthVariableServicesBBTestConformance.c:250:Status - Invalid Parameter","0x00010000","28155531-80C5-4AD0-8471-A5E2AECF236C","No device path","AuthVar_Conf_0_0_28155531-80C5-4AD0-8471-A5E2AECF236C.log"
"RuntimeServicesTest\VariableServicesTest","5.2.1.3.29","0","0","20678B3E-BCCA-4186-84AF-4716E7AFDE85","FAIL","RT.SetVariable - The Created Time Base Auth Variable should pass the data validation ","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/RuntimeServices/VariableServices/BlackBoxTest/AuthVariableServicesBBTestFunction.c:697:Status - Buffer Too Small","0x00010000","9338D0EC-807B-4750-986A-8F2A91BB3616","No device path","AuthVar_Func_0_0_9338D0EC-807B-4750-986A-8F2A91BB3616.log"
"RuntimeServicesTest\VariableServicesTest","5.2.1.4.4","0","0","E7F2EB9F-1624-45A9-A287-3EA6F2F74C5F","FAIL","RT.QueryVariableInfo  Query variable info when Attributes is not a combination of EFI_VARIABLE_RUNTIME_ACCESS,EFI_VARIABLE_BOOTSERVICE_ACCESS and EFI_VARIABLE_NON_VOLATILE.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/RuntimeServices/VariableServices/BlackBoxTest/VariableServicesBBTestConformance.c:3012:Status - Unsupported, Expected - Invalid Parameter","0x00010000","61758774-91A3-47DD-BDBD-B81094A5F62D","No device path","QueryVariableInfo_Conf_0_0_61758774-91A3-47DD-BDBD-B81094A5F62D.log"
"RuntimeServicesTest\VariableServicesTest","5.2.1.4.5","0","0","2F9966BA-0091-4085-BF9D-09AA809F942E","FAIL","RT.QueryVariableInfo  Query variable info with an invalid combination of Attributes.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/RuntimeServices/VariableServices/BlackBoxTest/VariableServicesBBTestConformance.c:3093:Status - Unsupported, Expected - Invalid Parameter (Variable Attribute 0x4)","0x00010000","61758774-91A3-47DD-BDBD-B81094A5F62D","No device path","QueryVariableInfo_Conf_0_0_61758774-91A3-47DD-BDBD-B81094A5F62D.log"
"RuntimeServicesTest\VariableServicesTest","5.2.1.3.27","0","0","98CA8089-7F55-4427-8C15-AFA63D7848B0","FAIL","RT.SetVariable - With DataSize is 0","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/RuntimeServices/VariableServices/BlackBoxTest/VariableServicesBBTestConformance.c:2601:Status - Success, Expected - Success","0x00010000","C0391B41-591F-4173-8CE3-5FF9158A948C","No device path","SetVariable_Conf_0_0_C0391B41-591F-4173-8CE3-5FF9158A948C.log"
"RuntimeServicesTest\VariableServicesTest","5.2.1.3.23","0","0","6AFDEA5E-1030-48AB-91DD-7CD3537CAD3B","FAIL","RT.SetVariable - Non-volatile variable exists after system reset at EFI_TPL_APPLICATION.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/RuntimeServices/VariableServices/BlackBoxTest/VariableServicesBBTestFunction.c:2337:Status - Not Found, Expected - Success","0x00010000","D4700FE8-9832-4353-961F-74682D3701F6","No device path","SetVariable_Func_0_0_D4700FE8-9832-4353-961F-74682D3701F6.log"
"RuntimeServicesTest\VariableServicesTest","5.2.1.3.24","0","0","653F14CC-8ECD-4AAF-ADD6-96C507112D67","FAIL","RT.SetVariable - Non-volatile variable exists after system reset at EFI_TPL_CALLBACK.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/RuntimeServices/VariableServices/BlackBoxTest/VariableServicesBBTestFunction.c:2337:Status - Not Found, Expected - Success","0x00010000","D4700FE8-9832-4353-961F-74682D3701F6","No device path","SetVariable_Func_0_0_D4700FE8-9832-4353-961F-74682D3701F6.log"
"RuntimeServicesTest\TimeServicesTest","5.2.2.2.32","0","0","B39BC904-55E7-4B9B-B4D8-274ADD71D625","FAIL","RT.SetTime - SetTime() returns EFI_SUCCESS to update the daylight at EFI_TPL_APPLICATION.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/RuntimeServices/TimeServices/BlackBoxTest/TimeServicesBBTestFunction.c:637:Status - Success, TPL - 4","0x00010000","603B46BE-7E14-408A-93D7-DD9DEC732968","No device path","SetTime_Func_0_0_603B46BE-7E14-408A-93D7-DD9DEC732968.log"
"RuntimeServicesTest\TimeServicesTest","5.2.2.2.36","0","0","EA99DEC5-B879-4C8D-BFD1-F63FE75899BF","FAIL","RT.SetTime - SetTime() returns EFI_SUCCESS to update the TimeZone at EFI_TPL_APPLICATION.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/RuntimeServices/TimeServices/BlackBoxTest/TimeServicesBBTestFunction.c:745:Status - Success, TPL - 4","0x00010000","603B46BE-7E14-408A-93D7-DD9DEC732968","No device path","SetTime_Func_0_0_603B46BE-7E14-408A-93D7-DD9DEC732968.log"
"RuntimeServicesTest\TimeServicesTest","5.2.2.2.33","0","0","54DAF29B-48E6-4FA4-AD00-B8D648AF7D88","FAIL","RT.SetTime - SetTime() returns EFI_SUCCESS to update the daylight at EFI_TPL_CALLBACK.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/RuntimeServices/TimeServices/BlackBoxTest/TimeServicesBBTestFunction.c:637:Status - Success, TPL - 8","0x00010000","603B46BE-7E14-408A-93D7-DD9DEC732968","No device path","SetTime_Func_0_0_603B46BE-7E14-408A-93D7-DD9DEC732968.log"
"RuntimeServicesTest\TimeServicesTest","5.2.2.2.37","0","0","D9C645B9-52DE-415C-ABDC-7226CE6A30B1","FAIL","RT.SetTime - SetTime() returns EFI_SUCCESS to update the TimeZone at EFI_TPL_CALLBACK.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/RuntimeServices/TimeServices/BlackBoxTest/TimeServicesBBTestFunction.c:745:Status - Success, TPL - 8","0x00010000","603B46BE-7E14-408A-93D7-DD9DEC732968","No device path","SetTime_Func_0_0_603B46BE-7E14-408A-93D7-DD9DEC732968.log"
"RuntimeServicesTest\MiscRuntimeServicesTest","5.2.4.2.1","0","0","F48A2AC4-BCE7-4FA7-9E1B-B96FF860E30A","FAIL","RT.UpdateCapsule - invoke UpdateCapsule with invalid CapsuleCount","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/RuntimeServices/MiscRuntimeServices/BlackBoxTest/MiscRuntimeServicesBBTestConformance.c:141:Status - Unsupported","0x00010000","7227CFAC-CA96-4680-9314-E3FBC60A2A61","No device path","UpdateCapsule_Conf_0_0_7227CFAC-CA96-4680-9314-E3FBC60A2A61.log"
"RuntimeServicesTest\MiscRuntimeServicesTest","5.2.4.2.2","0","0","304F6960-79D0-4F17-8811-620FC6BDB0D4","FAIL","RT.UpdateCapsule - invoke UpdateCapsule with invalid ScatterGatherList","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/RuntimeServices/MiscRuntimeServices/BlackBoxTest/MiscRuntimeServicesBBTestConformance.c:174:Status - Unsupported","0x00010000","7227CFAC-CA96-4680-9314-E3FBC60A2A61","No device path","UpdateCapsule_Conf_0_0_7227CFAC-CA96-4680-9314-E3FBC60A2A61.log"
"RuntimeServicesTest\MiscRuntimeServicesTest","5.2.4.2.3","0","0","18F86BF8-76CF-4225-8E3E-1B1F63432600","FAIL","RT.UpdateCapsule - invoke UpdateCapsule with invalid Flags","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/RuntimeServices/MiscRuntimeServices/BlackBoxTest/MiscRuntimeServicesBBTestConformance.c:208:Status - Unsupported","0x00010000","7227CFAC-CA96-4680-9314-E3FBC60A2A61","No device path","UpdateCapsule_Conf_0_0_7227CFAC-CA96-4680-9314-E3FBC60A2A61.log"
